,Locus,Occurances in Chromosome 19
975,SLC39A3,2
976,SLC44A2,4
977,SLC5A5,5
978,SLC6A16,8
979,SLC7A10,6
980,SLC7A9,7
981,SLC8A2,3
982,SMARCA4,20
983,SMG9,8
984,SMIM17,1
985,SMIM24,1
986,SMIM7,2
987,SNAPC2,1
988,SNRNP70,4
989,SNRPA,1
990,SNRPD2,4
991,SPACA4,1
992,SPACA6,5
993,SPC24,6
994,SPHK2,10
995,SPIB,4
996,SPINT2,2
997,SPPL2B,10
998,SPRED3,3
999,SPTBN4,7
1000,SRRM5,1
1001,SSBP4,13
1002,SSC5D,2
1003,STAP2,3
1004,STK11,1
1005,STRN4,12
1006,STX10,5
1007,STXBP2,5
1008,SUGP1,5
1009,SUGP2,8
1010,SULT2A1,1
1011,SULT2B1,2
1012,SUPT5H,7
1013,SWSAP1,1
1014,SYCE2,4
1015,SYCN,1
1016,SYDE1,3
1017,SYMPK,3
1018,SYNE4,2
1019,SYNGR4,5
1020,SYT3,3
1021,SYT5,7
1022,TARM1,128
1023,TBC1D17,3
1024,TBCB,2
1025,TBXA2R,3
1026,TCF3,32
1027,TDRD12,9
1028,TEAD2,17
1029,TECR,15
1030,TEX101,3
1031,TEX45,1
1032,TFPT,129
1033,TGFB1,2
1034,TGFBR3L,6
1035,THAP8,4
1036,THEG,8
1037,THEG5,8
1038,THOP1,2
1039,TICAM1,1
1040,TIMM13,1
1041,TIMM29,1
1042,TIMM44,1
1043,TIMM50,3
1044,TJP3,2
1045,TLE2,6
1046,TLE5,4
1047,TLE6,8
1048,TM6SF2,1
1049,TMC4,129
1050,TMED1,2
1051,TMEM143,4
1052,TMEM145,4
1053,TMEM147,3
1054,TMEM150B,13
1055,TMEM160,1
1056,TMEM161A,4
1057,TMEM190,2
1058,TMEM205,10
1059,TMEM221,2
1060,TMEM238,1
1061,TMEM259,8
1062,TMEM38A,1
1063,TMEM59L,1
1064,TMEM86B,2
1065,TMEM91,8
1066,TMIGD2,5
1067,TMPRSS9,4
1068,TNFAIP8L1,4
1069,TNFSF14,4
1070,TNFSF9,1
1071,TNNI3,1
1072,TNNT1,7
1073,TNPO2,3
1074,TOMM40,4
1075,TPGS1,1
1076,TPM4,9
1077,TPRX1,1
1078,TRAPPC2B,1
1079,TRAPPC5,3
1080,TRAPPC6A,5
1081,TRIM28,2
1082,TRIP10,5
1083,TRIR,3
1084,TRMT1,13
1085,TRPM4,8
1086,TSEN34,258
1087,TSHZ3,1
1088,TSKS,4
1089,TSPAN16,7
1090,TSSK6,1
1091,TTC9B,2
1092,TTYH1,27
1093,TUBB4A,6
1094,TULP2,10
1095,TYK2,6
1096,TYROBP,4
1097,U2AF1L4,3
1098,U2AF2,4
1099,UBA2,6
1100,UBA52,13
1101,UBE2M,1
1102,UBE2S,2
1103,UBL5,2
1104,UBXN6,3
1105,UHRF1,6
1106,UNC13A,4
1107,UPF1,4
1108,UPK1A,2
1109,UQCR11,1
1110,UQCRFS1,1
1111,URI1,6
1112,USE1,2
1113,USF2,9
1114,USHBP1,4
1115,USP29,2
1116,VASP,4
1117,VAV1,4
1118,VMAC,1
1119,VN1R1,1
1120,VN1R2,1
1121,VN1R4,5
1122,VRK3,7
1123,VSIG10L,1
1124,VSTM1,262
1125,VSTM2B,6
1126,WDR18,3
1127,WDR62,12
1128,WDR83,2
1129,WDR83OS,2
1130,WDR87,3
1131,WDR88,5
1132,WIZ,13
1133,WTIP,4
1134,XAB2,1
1135,XRCC1,1
1136,YIF1B,10
1137,YIPF2,11
1138,YJEFN3,9
1139,YJU2,1
1140,ZBTB32,9
1141,ZBTB45,7
1142,ZBTB7A,4
1143,ZC3H4,11
1144,ZFP14,4
1145,ZFP28,4
1146,ZFP30,7
1147,ZFP36,1
1148,ZFP82,4
1149,ZFR2,3
1150,ZGLP1,1
1151,ZIK1,10
1152,ZIM2,8
1153,ZIM3,1
1154,ZNF100,20
1155,ZNF101,5
1156,ZNF112,7
1157,ZNF114,6
1158,ZNF121,3
1159,ZNF132,1
1160,ZNF134,1
1161,ZNF135,13
1162,ZNF136,3
1163,ZNF14,1
1164,ZNF146,6
1165,ZNF154,1
1166,ZNF155,10
1167,ZNF160,19
1168,ZNF17,2
1169,ZNF175,2
1170,ZNF177,4
1171,ZNF180,8
1172,ZNF181,9
1173,ZNF20,2
1174,ZNF208,5
1175,ZNF211,7
1176,ZNF221,5
1177,ZNF222,6
1178,ZNF223,4
1179,ZNF224,3
1180,ZNF225,5
1181,ZNF226,17
1182,ZNF227,27
1183,ZNF229,5
1184,ZNF230,1
1185,ZNF233,8
1186,ZNF234,8
1187,ZNF235,2
1188,ZNF253,3
1189,ZNF254,15
1190,ZNF256,2
1191,ZNF257,4
1192,ZNF260,8
1193,ZNF264,2
1194,ZNF266,46
1195,ZNF274,8
1196,ZNF28,12
1197,ZNF283,17
1198,ZNF284,5
1199,ZNF285,5
1200,ZNF296,1
1201,ZNF30,10
1202,ZNF302,29
1203,ZNF304,5
1204,ZNF317,3
1205,ZNF320,10
1206,ZNF324,2
1207,ZNF324B,3
1208,ZNF329,17
1209,ZNF331,29
1210,ZNF333,19
1211,ZNF345,12
1212,ZNF347,3
1213,ZNF350,15
1214,ZNF358,3
1215,ZNF382,2
1216,ZNF383,13
1217,ZNF404,1
1218,ZNF414,2
1219,ZNF415,46
1220,ZNF416,3
1221,ZNF417,3
1222,ZNF418,15
1223,ZNF419,11
1224,ZNF420,19
1225,ZNF426,10
1226,ZNF428,1
1227,ZNF429,12
1228,ZNF43,40
1229,ZNF430,8
1230,ZNF431,5
1231,ZNF432,4
1232,ZNF433,11
1233,ZNF439,9
1234,ZNF44,9
1235,ZNF440,3
1236,ZNF441,1
1237,ZNF442,6
1238,ZNF443,1
1239,ZNF444,16
1240,ZNF446,2
1241,ZNF45,20
1242,ZNF460,2
1243,ZNF461,10
1244,ZNF468,4
1245,ZNF470,2
1246,ZNF471,4
1247,ZNF473,3
1248,ZNF480,4
1249,ZNF486,1
1250,ZNF490,1
1251,ZNF491,2
1252,ZNF492,1
1253,ZNF493,3
1254,ZNF497,2
1255,ZNF506,2
1256,ZNF507,2
1257,ZNF524,2
1258,ZNF525,2
1259,ZNF526,2
1260,ZNF527,5
1261,ZNF528,11
1262,ZNF529,18
1263,ZNF530,5
1264,ZNF534,5
1265,ZNF536,26
1266,ZNF540,3
1267,ZNF541,12
1268,ZNF543,1
1269,ZNF544,29
1270,ZNF546,8
1271,ZNF547,1
1272,ZNF548,3
1273,ZNF549,2
1274,ZNF550,6
1275,ZNF551,2
1276,ZNF552,2
1277,ZNF554,9
1278,ZNF555,4
1279,ZNF556,2
1280,ZNF557,3
1281,ZNF558,16
1282,ZNF559,8
1283,ZNF56,1
1284,ZNF560,9
1285,ZNF561,13
1286,ZNF562,12
1287,ZNF563,8
1288,ZNF564,1
1289,ZNF565,8
1290,ZNF566,11
1291,ZNF567,20
1292,ZNF568,14
1293,ZNF569,12
1294,ZNF57,3
1295,ZNF570,8
1296,ZNF571,11
1297,ZNF573,5
1298,ZNF574,6
1299,ZNF575,3
1300,ZNF576,2
1301,ZNF577,10
1302,ZNF578,2
1303,ZNF579,4
1304,ZNF580,3
1305,ZNF581,3
1306,ZNF582,2
1307,ZNF583,14
1308,ZNF584,5
1309,ZNF585A,3
1310,ZNF585B,1
1311,ZNF586,3
1312,ZNF587,2
1313,ZNF587B,1
1314,ZNF599,2
1315,ZNF600,6
1316,ZNF606,5
1317,ZNF607,4
1318,ZNF610,4
1319,ZNF611,4
1320,ZNF613,5
1321,ZNF614,1
1322,ZNF615,15
1323,ZNF616,1
1324,ZNF625,1
1325,ZNF626,2
1326,ZNF627,5
1327,ZNF628,3
1328,ZNF649,1
1329,ZNF653,1
1330,ZNF66,4
1331,ZNF665,5
1332,ZNF667,15
1333,ZNF671,4
1334,ZNF675,1
1335,ZNF676,4
1336,ZNF677,4
1337,ZNF681,1
1338,ZNF682,4
1339,ZNF69,7
1340,ZNF699,1
1341,ZNF700,2
1342,ZNF701,3
1343,ZNF708,7
1344,ZNF709,1
1345,ZNF71,3
1346,ZNF714,1
1347,ZNF723,3
1348,ZNF724,5
1349,ZNF726,4
1350,ZNF728,1
1351,ZNF729,1
1352,ZNF730,3
1353,ZNF737,7
1354,ZNF738,4
1355,ZNF749,5
1356,ZNF761,5
1357,ZNF763,4
1358,ZNF765,2
1359,ZNF766,4
